========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
------------------------------------------------------------------------------------------------------------------------
solar_array_v0                                  400.0 kg      63.2%      36.8%       0.0%
gamma_ray_spectrometer_v0                        40.0 kg      95.3%       4.7%       0.0%
optical_metrology_tools                          40.0 kg      96.9%       3.1%       0.0%
sintering_furnace_v0                            950.0 kg      98.1%       1.9%       0.0%
high_temperature_power_supply_v0                320.0 kg      98.1%       1.9%       0.0%
welding_power_supply_v0                         180.0 kg      98.1%       1.9%       0.0%
casting_furnace_v0                              900.0 kg      98.1%       1.9%       0.0%
glass_furnace_v0                               1400.0 kg      98.1%       1.9%       0.0%
mre_reactor_v0                                 1600.0 kg      98.1%       1.9%       0.0%
vibratory_feeder_v0                             320.0 kg      98.1%       1.9%       0.0%
high_temp_furnace_v0                           1500.0 kg      98.1%       1.9%       0.0%
radiator_panels_v0                              450.0 kg      98.1%       1.9%       0.0%
reduction_furnace_v0                           1300.0 kg      98.1%       1.9%       0.0%
chemical_processing_unit                        450.0 kg      98.6%       1.4%       0.0%
lidar_time_of_flight_simple_v0                    2.0 kg      98.9%       1.1%       0.0%
balancing_machine                               450.0 kg      98.9%       1.1%       0.0%
insulation_resistance_tester                      6.0 kg      99.0%       1.0%       0.0%
hot_press_v0                                    950.0 kg      99.1%       0.9%       0.0%
power_storage_bank_v0                           320.0 kg      99.2%       0.8%       0.0%
gas_chromatograph_simple_v0                      25.0 kg      99.4%       0.6%       0.0%
milling_machine_cnc                            1200.0 kg      99.4%       0.6%       0.0%
heliostat_array_system_v0                      5000.0 kg      99.6%       0.4%       0.0%
alignment_tools                                  12.0 kg      99.6%       0.4%       0.0%
thermionic_generator                            350.0 kg      99.7%       0.3%       0.0%
power_conditioning_equipment                     80.0 kg      99.7%       0.3%       0.0%
inverter_dc_to_ac_v0                             25.0 kg      99.7%       0.3%       0.0%
steel_forming_press                            2000.0 kg      99.7%       0.3%       0.0%
test_equipment_electronics                       30.0 kg      99.8%       0.2%       0.0%
loader_small                                   5000.0 kg      99.8%       0.2%       0.0%
fabrication_station                             100.0 kg      99.8%       0.2%       0.0%
assembly_tools_basic                             50.0 kg      99.8%       0.2%       0.0%
quench_tank                                     200.0 kg      99.8%       0.2%       0.0%
assembly_station_v0                             200.0 kg      99.8%       0.2%       0.0%
assembly_station                                 80.0 kg      99.8%       0.2%       0.0%
gas_handling_loop_v0                            120.0 kg      99.8%       0.2%       0.0%
coordinate_measuring_machine_v0                 900.0 kg      99.8%       0.2%       0.0%
coordinate_measuring_machine                    800.0 kg      99.8%       0.2%       0.0%
grinder_surface_v0                              350.0 kg      99.8%       0.2%       0.0%
surface_grinder                                1200.0 kg      99.8%       0.2%       0.0%
hip_press_unit_v0                              1000.0 kg      99.8%       0.2%       0.0%
winding_machine                                 150.0 kg      99.8%       0.2%       0.0%
spinning_machine_v0                             300.0 kg      99.8%       0.2%       0.0%
spin_coating_station_v0                          50.0 kg      99.8%       0.2%       0.0%
coil_winding_machine                            120.0 kg      99.8%       0.2%       0.0%
coil_winding_machine_v0                         120.0 kg      99.8%       0.2%       0.0%
power_hammer_or_press_v0                        200.0 kg      99.9%       0.1%       0.0%
power_hammer_or_press                           500.0 kg      99.9%       0.1%       0.0%
vibrating_screen_v0                             180.0 kg      99.9%       0.1%       0.0%
obstacle_avoidance_ai_v0                          1.0 kg      99.9%       0.1%       0.0%
path_planning_algorithm_v0                        1.0 kg      99.9%       0.1%       0.0%
resource_prospecting_ai_v0                        1.0 kg      99.9%       0.1%       0.0%
press_hydraulic                                 250.0 kg      99.9%       0.1%       0.0%
hot_wire_cutter_v0                               40.0 kg      99.9%       0.1%       0.0%
fiber_spinneret_v0                               40.0 kg      99.9%       0.1%       0.0%
order_holon_v0                                    1.0 kg      99.9%       0.1%       0.0%
pheromone_digital_system_v0                       0.0 kg      99.9%       0.1%       0.0%
labor_bot_general_v0                            120.0 kg      99.9%       0.1%       0.0%
tensioning_equipment                             25.0 kg      99.9%       0.1%       0.0%
plate_rolling_mill                             1500.0 kg      99.9%       0.1%       0.0%
stewart_platform_calibrator                     150.0 kg      99.9%       0.1%       0.0%
magnetic_separator_drum_v0                      750.0 kg      99.9%       0.1%       0.0%
inert_atmosphere_system                         100.0 kg      99.9%       0.1%       0.0%
mineral_processing_unit                         800.0 kg      99.9%       0.1%       0.0%
labor_bot_basic_v0                              120.0 kg      99.9%       0.1%       0.0%
vapor_capture_system_v0                          80.0 kg      99.9%       0.1%       0.0%
