========================================================================================================================
CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
------------------------------------------------------------------------------------------------------------------------
pcb_fab_station                                 350.0 kg       0.0%     100.0%       0.0%
sintering_furnace_v0                            950.0 kg       0.0%     100.0%       0.0%
cement_mixer_small                              120.0 kg       0.0%     100.0%       0.0%
fabrication_station                             100.0 kg       0.0%     100.0%       0.0%
lattice_builder_gantry_v0                      1200.0 kg       0.0%     100.0%       0.0%
welding_arc_welder_v0                            45.0 kg       0.0%     100.0%       0.0%
solar_array_cleaning_brush_v0                    25.0 kg       0.0%     100.0%       0.0%
chemical_reactor_basic                          500.0 kg       0.0%     100.0%       0.0%
bending_machine_v0                              900.0 kg       0.0%     100.0%       0.0%
rock_crusher_basic                              500.0 kg       0.0%     100.0%       0.0%
roll_grinding_lathe_or_cylindrical_grinder_v0        600.0 kg       0.0%     100.0%       0.0%
milling_machine_general_v0                      600.0 kg       0.0%     100.0%       0.0%
pcb_fab_equipment                               250.0 kg       0.0%     100.0%       0.0%
induction_furnace_v0                           1200.0 kg       0.0%     100.0%       0.0%
screening_equipment_v0                           60.0 kg       0.0%     100.0%       0.0%
pressure_test_rig_basic_v0                      600.0 kg       0.0%     100.0%       0.0%
heat_pipe_receiver_v0                            60.0 kg       0.0%     100.0%       0.0%
power_hammer_or_press_v0                        200.0 kg       0.0%     100.0%       0.0%
gear_hobbing_machine_v0                         900.0 kg       0.0%     100.0%       0.0%
power_hammer_or_press                           500.0 kg       0.0%     100.0%       0.0%
cell_sealer_station                             250.0 kg       0.0%     100.0%       0.0%
lab_v0                                           60.0 kg       0.0%     100.0%       0.0%
hydraulic_power_unit_basic                      150.0 kg       0.0%     100.0%       0.0%
assembly_tools_basic                             50.0 kg       0.0%     100.0%       0.0%
balancing_machine                               450.0 kg       0.0%     100.0%       0.0%
cooling_chamber_controlled                      150.0 kg       0.0%     100.0%       0.0%
pressure_test_rig_basic                         600.0 kg       0.0%     100.0%       0.0%
cutting_tools_general                            30.0 kg       0.0%     100.0%       0.0%
power_storage_bank_v0                           320.0 kg       0.0%     100.0%       0.0%
scara_robot_v0                                   60.0 kg       0.0%     100.0%       0.0%
dust_collection_system                          180.0 kg       0.0%     100.0%       0.0%
press_brake_or_roller                           300.0 kg       0.0%     100.0%       0.0%
optical_metrology_tools                          40.0 kg       0.0%     100.0%       0.0%
magnetic_separator                              120.0 kg       0.0%     100.0%       0.0%
refining_furnace                               1200.0 kg       0.0%     100.0%       0.0%
cold_trap_module_v0                             120.0 kg       0.0%     100.0%       0.0%
neural_network_training_system_v0               500.0 kg       0.0%     100.0%       0.0%
drilling_equipment_v0                           500.0 kg       0.0%     100.0%       0.0%
solar_array_v0                                  400.0 kg       0.0%     100.0%       0.0%
data_handler_unit_v0                              3.0 kg       0.0%     100.0%       0.0%
drill_press_v0                                  120.0 kg       0.0%     100.0%       0.0%
electric_motor_3_phase_5kw                       25.0 kg       0.0%     100.0%       0.0%
