========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
------------------------------------------------------------------------------------------------------------------------
epoxy_synthesis_unit                            200.0 kg       0.0%     100.0%       0.0%
fms_control_system_v0                            25.0 kg       0.0%     100.0%       0.0%
universal_turing_machine_lunar_v0               500.0 kg       0.0%     100.0%       0.0%
fms_control_system_v0_v0                         25.0 kg       0.0%     100.0%       0.0%
epoxy_processing_unit                           150.0 kg       0.0%     100.0%       0.0%
heliostat_array_system_v0                      5000.0 kg       0.0%      99.9%       0.1%
solar_array_v0                                  400.0 kg       1.5%      96.1%       2.4%
insulation_resistance_tester                      6.0 kg       0.0%      95.8%       4.2%
optical_metrology_tools                          40.0 kg       0.0%      85.7%      14.3%
power_conditioning_equipment                     80.0 kg      16.3%      76.1%       7.6%
inverter_dc_to_ac_v0                             25.0 kg      16.3%      76.1%       7.6%
3d_printer_basic_v0                              40.0 kg       0.0%      75.0%      25.0%
neural_network_training_system_v0               500.0 kg       8.3%      41.7%      50.0%
computer_workstation                             12.0 kg       8.3%      41.7%      50.0%
coil_winding_machine                            120.0 kg      68.2%      31.8%       0.0%
coil_winding_machine_v0                         120.0 kg      68.2%      31.8%       0.0%
assembly_tools_basic                             50.0 kg       0.0%      28.6%      71.4%
gamma_ray_spectrometer_v0                        40.0 kg       0.0%      28.6%      71.4%
grinder_surface_v0                              350.0 kg       2.6%      27.8%      69.6%
surface_grinder                                1200.0 kg       2.6%      27.8%      69.6%
alignment_tools                                  12.0 kg       0.0%      26.7%      73.3%
hot_wire_cutter_v0                               40.0 kg       0.0%      25.0%      75.0%
quench_tank                                     200.0 kg      12.5%      25.0%      62.5%
soldering_station                                 8.0 kg      66.7%      20.0%      13.3%
power_storage_bank_v0                           320.0 kg      30.8%      19.8%      49.5%
high_temperature_power_supply_v0                320.0 kg      30.8%      19.8%      49.5%
welding_power_supply_v0                         180.0 kg      30.8%      19.8%      49.5%
assembly_station_v0                             200.0 kg      30.8%      19.8%      49.5%
assembly_station                                 80.0 kg      30.8%      19.8%      49.5%
gas_handling_loop_v0                            120.0 kg      30.8%      19.8%      49.5%
vibratory_feeder_v0                             320.0 kg      30.8%      19.8%      49.5%
radiator_panels_v0                              450.0 kg      30.8%      19.8%      49.5%
press_hydraulic                                 250.0 kg      31.1%      19.7%      49.2%
power_hammer_or_press_v0                        200.0 kg      32.0%      19.4%      48.6%
power_hammer_or_press                           500.0 kg      32.0%      19.4%      48.6%
vibrating_screen_v0                             180.0 kg      32.0%      19.4%      48.6%
sintering_furnace_v0                            950.0 kg      37.0%      18.0%      45.0%
casting_furnace_v0                              900.0 kg      37.0%      18.0%      45.0%
glass_furnace_v0                               1400.0 kg      37.0%      18.0%      45.0%
mre_reactor_v0                                 1600.0 kg      37.0%      18.0%      45.0%
high_temp_furnace_v0                           1500.0 kg      37.0%      18.0%      45.0%
reduction_furnace_v0                           1300.0 kg      37.0%      18.0%      45.0%
hot_press_v0                                    950.0 kg      37.3%      17.9%      44.8%
balancing_machine                               450.0 kg      38.0%      17.7%      44.3%
controlled_atmosphere_chamber                   250.0 kg      54.0%      16.6%      29.4%
power_distribution_bus                          200.0 kg       0.0%      14.1%      85.9%
lidar_time_of_flight_simple_v0                    2.0 kg       0.0%      14.1%      85.9%
induction_furnace_v0                           1200.0 kg      84.6%      14.0%       1.4%
hpht_furnace_v0                                1000.0 kg      84.6%      14.0%       1.4%
signal_generator                                 25.0 kg      76.8%      12.9%      10.3%
electrical_test_equipment                        40.0 kg      80.5%      12.0%       7.5%
pete_photon_enhanced_thermionic_v0              100.0 kg      87.7%      11.4%       0.9%
